id,filename,category,subcategory,speaker_id,source,source_url,license,license_verified,duration_seconds,sample_rate,channels,bit_depth,original_format,processed_format,preservation_priority,split,notes
MB_CRIT_SPEECH_001,speech_001.wav,speech,Critical Speech,SPK_001,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.92,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_002,speech_002.wav,speech,Critical Speech,SPK_002,Freesound Open Sound Archive,https://freesound.org,Creative Commons 0 (CC0 1.0 Universal),true,2.88,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_003,speech_003.wav,speech,Critical Speech,SPK_003,Freesound Open Sound Archive,https://freesound.org,Creative Commons 0 (CC0 1.0 Universal),true,3.07,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_004,speech_004.wav,speech,Critical Speech,SPK_004,Freesound Open Sound Archive,https://freesound.org,Creative Commons 0 (CC0 1.0 Universal),true,2.63,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_005,speech_005.wav,speech,Critical Speech,SPK_005,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.27,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_006,speech_006.wav,speech,Critical Speech,SPK_006,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.31,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_007,speech_007.wav,speech,Critical Speech,SPK_007,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.71,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_008,speech_008.wav,speech,Critical Speech,SPK_008,Freesound Open Sound Archive,https://freesound.org,Creative Commons 0 (CC0 1.0 Universal),true,3.69,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,validation,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_009,speech_009.wav,speech,Critical Speech,SPK_009,Freesound Open Sound Archive,https://freesound.org,Creative Commons 0 (CC0 1.0 Universal),true,3.80,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,test,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_010,speech_010.wav,speech,Critical Speech,SPK_010,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.31,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_011,speech_011.wav,speech,Critical Speech,SPK_011,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,2.58,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_012,speech_012.wav,speech,Critical Speech,SPK_012,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.58,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_013,speech_013.wav,speech,Critical Speech,SPK_013,Zenodo Open Defence & Industrial Acoustic Research Archive,https://zenodo.org,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.69,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
MB_CRIT_SPEECH_014,speech_014.wav,speech,Critical Speech,SPK_014,Google AudioSet Research Ontology,https://research.google.com/audioset/,Creative Commons Attribution 4.0 International (CC-BY 4.0),true,3.40,16000,1,16,PCM_16_WAV,PCM_16_MONO_16KHZ,CRITICAL,train,Critical audio cue to actively preserve during enhancement (speech)
